Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log Î½Sync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag,Seq,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,z,u_z,Rmag,Class,FR,F143,FX,FF,aro,RA_deg,DEC_deg,Separation
1,3FGL J0001.2- 0748,PMN J0001-0746,5BZBJ0001-0746,bll,0.325103733,-7.774145247,0.0,ISP,14.486,1.0,0.86,0.0,11.25,6.9521899E-10,2.1493,PowerLaw,2.15,209.1692,8.10e- 13,17.6118,17.21,4,5BZB J0001-0746,0,1,18.0,-,7,46,26.68,89.08,-67.29,0.0," ",17.9,BL Lac,208.0,0,0.35,5.0E-10,0.553,0.325,-7.774077777777777,0.44260592869969684
5,3FGL J0003.8- 1151,PMN J0004-1148,5BZBJ0004-1148,bcu II,1.020479133,-11.81621827,0.0,LSP,12.515,0.99,0.87,0.0,4.18,2.3389926E-10,2.0235,PowerLaw,2.02,459.597,0,18.575,0.0,9,5BZB J0004-1148,0,4,4.87,-,11,48,57.99,84.66,-71.08,0.0," ",18.8,BL Lac,459.0,308,0.0,0.0,0.797,1.0202916666666666,-11.816108333333334,0.7700640388400353
7,3FGL J0004.7- 4740,PKS 0002-478,5BZQJ0004-4736,fsrq,1.148564588,-47.6054455,0.88,LSP,13.419,0.99,0.93,0.0,14.52,6.9288186E-10,2.4035,PowerLaw,2.4,932.9,1.49e- 12,17.2964,0.0,11,5BZQ J0004-4736,0,4,35.64,-,47,36,19.51,323.94,-67.57,0.884," ",15.9,QSO RLoud flat radio sp.,909.0,0,0.85,9.0E-10,0.564,1.1485,-47.60541944444444,0.18268930864827426
8,3FGL J0006.4+3825,S4 0003+38,5BZQJ0005+3820,fsrq,1.4882308,38.33754137,0.229,LSP,13.235,0.99,0.84,0.0,10.55,6.0568678E-10,2.6171,PowerLaw,2.62,572.7561,0,17.7239,0.0,15,5BZQ J0005+3820,0,5,57.18,+,38,20,15.21,113.21,-23.68,0.229," ",17.6,QSO RLoud flat radio sp.,572.0,685,0.75,1.0E-9,0.638,1.4882499999999999,38.337558333333334,0.0816617287613352
9,3FGL J0008.0+4713,MG4 J000800+4712,5BZBJ0007+4712,bll,1.999888613,47.20215794,2.1,HSP,15.891,1.0,0.84,0.84,24.74,1.9663688E-9,2.021,PowerLaw,2.02,60.8634,1.48e- 12,18.283,0.0,21,5BZB J0007+4712,0,7,59.97,+,47,12,7.7,115.31,-15.03,0.28,?,18.2,BL Lac,60.0,0,0.53,2.1E-9,0.505,1.999875,47.20213888888889,0.07623897777538059
10,3FGL J0008.6- 2340,RBS 0016,5BZBJ0008-2339,bll,2.14749865,-23.65777998,0.147,ISP,14.78,1.0,0.0,0.89,6.66,2.284548E-10,1.5989,PowerLaw,1.6,36.2558,4.71e- 12,16.6408,0.0,23,5BZB J0008-2339,0,8,35.38,-,23,39,27.79,50.31,-79.73,0.147," ",16.8,BL Lac,36.0,0,2.42,3.0E-10,0.429,2.1474166666666665,-23.657719444444442,0.3472379593576458
11,3FGL J0009.1+0630,CRATES J000903.95+062821.5,5BZBJ0009+0628,bll,2.26638275,6.472566569,0.0,LSP,13.44,0.99,0.87,0.8,8.97,5.4901528E-10,2.1794,PowerLaw,2.18,247.0644,1.30e- 12,18.7042,18.11,25,5BZB J0009+0628,0,9,3.91,+,6,28,21.39,104.42,-54.87,0.0," ",18.9,BL Lac,247.0,0,0.55,5.0E-10,0.696,2.2662916666666666,6.4726083333333335,0.3588282547571021
12,3FGL J0009.1+0630,GB6 J0009+0625,5BZQJ0009+0625,bll,2.32106318333,6.43187437778,0.0,ISP,14.822,0.93,0.0,0.0,8.97,5.4901528E-10,2.1794,PowerLaw,2.18,180.0831,0,19.4921,19.2,26,5BZQ J0009+0625,0,9,17.04,+,6,25,54.69,104.49,-54.93,2.694," ",19.0,QSO RLoud flat radio sp.,180.0,0,0.08,5.0E-10,0.664,2.321,6.4318583333333335,0.2332916886856905
13,3FGL J0009.3+5030,NVSS J000922+503028,5BZBJ0009+5030,bll,2.344833529,50.50801062,0.0,HSP,15.15,1.0,0.85,0.0,36.49,3.0936393E-9,1.9286,PowerLaw,1.93,12.2673,0,0.0,0.0,27,5BZB J0009+5030,0,9,22.77,+,50,30,28.58,116.12,-11.81,0.0," ",19.4,BL Lac,12.0,0,0.24,2.2E-9,0.426,2.344875,50.50793888888889,0.27513418728117633
15,3FGL J0013.2- 3954,PKS 0010-401,5BZBJ0012-3954,bll,3.249624337,-39.90723724,0.0,LSP,12.27,1.0,0.92,0.0,12.02,6.0675814E-10,2.2118,PowerLaw,2.21,494.6114,0,18.09,0.0,38,5BZB J0012-3954,0,12,59.87,-,39,54,25.81,332.46,-74.95,0.0," ",18.9,BL Lac,494.0,257,0.0,5.0E-10,0.818,3.2494583333333336,-39.90716944444444,0.5193418630543472
16,3FGL J0013.9- 1853,RBS 0030,5BZGJ0013-1854,bll,3.483512921,-18.90186098,0.0944,HSP,16.76,1.0,0.0,0.94,5.58,2.3734373E-10,1.9352,PowerLaw,1.94,29.6284,1.26e- 11,12.946,0.0,41,5BZG J0013-1854,0,13,56.03,-,18,54,6.51,74.63,-78.09,0.095," ",13.4,BL Lac-galaxy dominated,29.0,0,6.49,0.0,0.023,3.483458333333333,-18.90180833333333,0.265493030101035
17,3FGL J0014.0- 5025,RBS 0032,5BZBJ0014-5022,bll,3.54675,-50.37575,0.0,HSP,16.925,1.0,0.0,0.91,5.65,2.4451646E-10,1.9239,PowerLaw,1.92,15.1,1.23e- 11,19.0598,0.0,43,5BZB J0014-5022,0,14,11.43,-,50,22,34.89,317.44,-65.7,0.0," ",18.7,BL Lac,13.0,0,6.98,6.0E-10,0.409,3.547625,-50.376358333333336,2.971830794272428
18,3FGL J0016.3- 0013,S3 0013-00,5BZQJ0016-0015,fsrq,4.046202296,-0.253457047,1.577,LSP,12.813,1.0,0.93,0.0,13.63,6.4111161E-10,2.6179,PowerLaw,2.62,1085.7144,0,19.9864,19.12,50,5BZQ J0016-0015,0,16,11.09,-,0,15,12.38,104.0,-61.83,1.577," ",19.9,QSO RLoud flat radio sp.,1086.0,0,0.23,4.0E-10,0.892,4.0462083333333325,-0.2534388888888889,0.06888764191491288
20,3FGL J0017.6- 0512,PMN J0017-0512,5BZQJ0017-0512,fsrq,4.399238408,-5.211602058,0.227,LSP,13.689,1.0,0.88,0.84,12.0,7.9522233E-10,2.5063,PowerLaw,2.51,178.4389,1.74e- 12,18.0884,17.02,52,5BZQ J0017-0512,0,17,35.81,-,5,12,41.61,101.24,-66.65,0.227," ",17.6,QSO RLoud flat radio sp.,174.0,0,0.8,1.4E-9,0.588,4.399208333333333,-5.2115583333333335,0.1907955620927686
