Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
1,3FGL J0001.2- 0748,PMN J0001-0746,5BZBJ0001-0746,bll,0.325103733,-7.774145247,0,ISP,14.486,1,0.86,0,11.25,0.00000000069521899,2.1493,PowerLaw,2.15,209.1692,8.10e- 13,17.6118,17.21
2,3FGL J0001.4+2120,TXS 2358+209,,fsrq,0.385020884,21.2267929,1.106,ISP,14.486,0.92,0,0,11.35,0.00000000029448677,2.3051,LogParabola,2.78,217.8677,2.31e- 12,18.7142,18.42
3,3FGL J0002.2- 4152,1RXS J000135.5- 415519,,bcu II,0.386415285,-41.92366916,-999,HSP,15.8,0.97,0,0,5.16,0.00000000027140307,2.0889,PowerLaw,2.09,13.2,0,18.4274,0
4,3FGL J0003.2- 5246,RBS 0006,,bcu II,0.831208332,-52.7910278,0,HSP,16.85,1,0,0.9,5.67,0.00000000025903737,1.8952,PowerLaw,1.9,65.3,4.85e- 12,18.8131,0
5,3FGL J0003.8- 1151,PMN J0004-1148,5BZBJ0004-1148,bcu II,1.020479133,-11.81621827,0,LSP,12.515,0.99,0.87,0,4.18,0.00000000023389926,2.0235,PowerLaw,2.02,459.597,0,18.575,0
6,3FGL J0003.8- 1151,PKS 0001-121,,bcu I,0.928482077,-11.8637214,1.30999,-,0,0.99,0.87,0,4.18,0.00000000023389926,2.0235,PowerLaw,2.02,352.4785,0,17.4233,0
7,3FGL J0004.7- 4740,PKS 0002-478,5BZQJ0004-4736,fsrq,1.148564588,-47.6054455,0.88,LSP,13.419,0.99,0.93,0,14.52,0.00000000069288186,2.4035,PowerLaw,2.4,932.9,1.49e- 12,17.2964,0
8,3FGL J0006.4+3825,S4 0003+38,5BZQJ0005+3820,fsrq,1.4882308,38.33754137,0.229,LSP,13.235,0.99,0.84,0,10.55,0.00000000060568678,2.6171,PowerLaw,2.62,572.7561,0,17.7239,0
9,3FGL J0008.0+4713,MG4 J000800+4712,5BZBJ0007+4712,bll,1.999888613,47.20215794,2.1,HSP,15.891,1,0.84,0.84,24.74,0.0000000019663688,2.021,PowerLaw,2.02,60.8634,1.48e- 12,18.283,0
10,3FGL J0008.6- 2340,RBS 0016,5BZBJ0008-2339,bll,2.14749865,-23.65777998,0.147,ISP,14.78,1,0,0.89,6.66,0.0000000002284548,1.5989,PowerLaw,1.6,36.2558,4.71e- 12,16.6408,0
11,3FGL J0009.1+0630,CRATES J000903.95+062821.5,5BZBJ0009+0628,bll,2.26638275,6.472566569,0,LSP,13.44,0.99,0.87,0.8,8.97,0.00000000054901528,2.1794,PowerLaw,2.18,247.0644,1.30e- 12,18.7042,18.11
12,3FGL J0009.1+0630,GB6 J0009+0625,5BZQJ0009+0625,bll,2.32106318333,6.43187437778,0,ISP,14.822,0.93,0,0,8.97,0.00000000054901528,2.1794,PowerLaw,2.18,180.0831,0,19.4921,19.2
13,3FGL J0009.3+5030,NVSS J000922+503028,5BZBJ0009+5030,bll,2.344833529,50.50801062,0,HSP,15.15,1,0.85,0,36.49,0.0000000030936393,1.9286,PowerLaw,1.93,12.2673,0,0,0
14,3FGL J0009.6- 3211,IC 1531,,bcu I,2.398157371,-32.27692485,0.025,ISP,14.656,0.96,0.85,0,5.54,0.00000000027656774,2.3097,PowerLaw,2.31,388.8466,5.01e- 13,8.91,0
15,3FGL J0013.2- 3954,PKS 0010-401,5BZBJ0012-3954,bll,3.249624337,-39.90723724,0,LSP,12.27,1,0.92,0,12.02,0.00000000060675814,2.2118,PowerLaw,2.21,494.6114,0,18.09,0
16,3FGL J0013.9- 1853,RBS 0030,5BZGJ0013-1854,bll,3.483512921,-18.90186098,0.0944,HSP,16.76,1,0,0.94,5.58,0.00000000023734373,1.9352,PowerLaw,1.94,29.6284,1.26e- 11,12.946,0
17,3FGL J0014.0- 5025,RBS 0032,5BZBJ0014-5022,bll,3.54675,-50.37575,0,HSP,16.925,1,0,0.91,5.65,0.00000000024451646,1.9239,PowerLaw,1.92,15.1,1.23e- 11,19.0598,0
18,3FGL J0016.3- 0013,S3 0013-00,5BZQJ0016-0015,fsrq,4.046202296,-0.253457047,1.577,LSP,12.813,1,0.93,0,13.63,0.00000000064111161,2.6179,PowerLaw,2.62,1085.7144,0,19.9864,19.12
19,3FGL J0017.2- 0643,PMN J0017-0650,,bcu II,4.28913025,-6.84304379,0,LSP,13.67,0.81,0,0,6.22,0.00000000038799491,2.1162,PowerLaw,2.12,93.9766,0,18.6043,18.31
20,3FGL J0017.6- 0512,PMN J0017-0512,5BZQJ0017-0512,fsrq,4.399238408,-5.211602058,0.227,LSP,13.689,1,0.88,0.84,12,0.00000000079522233,2.5063,PowerLaw,2.51,178.4389,1.74e- 12,18.0884,17.02
21,3FGL J0018.4+2947,RBS 0042,5BZBJ0018+2947,bll,4.615790258,29.79199,0.1,HSP,16.813,1,0,0.93,4.96,0.00000000021357462,1.8645,PowerLaw,1.86,33.804,1.43e- 11,17.4709,18.04
22,3FGL J0018.9- 8152,PMN J0019-8152,5BZBJ0019-8152,bll,4.836017346,-81.88094733,0,HSP,15.144,1,0.82,0.91,10.65,0.00000000065296818,2.0754,PowerLaw,2.08,87,4.99e- 12,16.3476,0
23,3FGL J0019.1- 5645,PMN J0019-5641,,bcu II,4.860883283,-56.69512688,0,LSP,12.83,0.99,0,0,6.8,0.00000000028565708,2.3909,PowerLaw,2.39,60.6,0,21.3089,0
24,3FGL J0019.4+2021,PKS 0017+200,5BZBJ0019+2021,bll,4.907727063,20.36267901,0,LSP,12.32,0.99,0.92,0,5.04,0.00000000029451058,2.2486,PowerLaw,2.25,983.9924,0,19.899,19.16
25,3FGL J0021.6- 2553,CRATES J002132.55- 255049.3,5BZBJ0021-2550,bll,5.385622988,-25.84705203,0,ISP,14.528,0.99,0,0,11.57,0.00000000059683669,2.0993,PowerLaw,2.1,69.0158,0,17.2214,0
26,3FGL J0021.6- 6835,PKS 0021-686,,bcu II,6.028008646,-68.34849751,0,LSP,13.44,0.95,0.85,0,5.37,0.00000000021162896,2.6525,PowerLaw,2.65,1248,2.17e- 12,16.4931,0
27,3FGL J0022.1- 1855,1RXS J002209.2- 185333,5BZBJ0022-1853,bll,5.538621017,-18.89301871,0,HSP,15.13,0.99,0,0.83,16.69,0.00000000090110558,1.799,PowerLaw,1.8,22.5263,1.09e- 12,17.4473,0
28,3FGL J0022.1- 5141,1RXS J002159.2- 514028,5BZBJ0022-5140,bll,5.49933333,-51.6738056,0,HSP,15.68,1,0,0.9,13.71,0.00000000070081763,1.9874,PowerLaw,1.99,20,5.09e- 12,16.5794,0
29,3FGL J0022.5+0608,PKS 0019+058,5BZBJ0022+0608,bll,5.635171717,6.134519133,0,LSP,13.112,1,0.94,0,28.18,0.0000000021621784,2.0732,PowerLaw,2.07,340.3242,0,19.5096,17.83
30,3FGL J0023.5+4454,B3 0020+446,5BZUJ0023+4456,fsrq,5.897676979,44.94326604,1.062,LSP,13.05,1,0.8,0,8.96,0.00000000046260507,2.5685,PowerLaw,2.57,140.6026,0,0,0
31,3FGL J0024.4+0350,GB6 J0024+0349,5BZQJ0024+0349,fsrq,6.188405292,3.817663486,0.545,LSP,13.649,0.98,0,0,5.71,0.0000000003924302,2.2782,PowerLaw,2.28,22.085,0,19.8116,18.63
32,3FGL J0026.7- 4603,1RXS J002636.3- 460101,5BZBJ0026-4601,bll,6.64879166,-46.0192222,0,HSP,17.408,1,0,0.9,5.08,0.00000000020787713,2.4503,PowerLaw,2.45,38.7,1.41e- 11,18.0657,0
33,3FGL J0028.6+7507,GB6 J0028+7506,,bcu II,7.054430182,75.1035815,0,ISP,14.23,0.99,0,0,7.31,0.00000000054497018,2.3415,PowerLaw,2.34,81.0955,0,0,0
34,3FGL J0028.8+1951,TXS 0025+197,,bcu III,7.1242436875,20.0074288972,0,-,0,0.94,0,0,6.32,0.00000000037903075,2.4337,PowerLaw,2.43,287.094,0,19.9422,19.32
35,3FGL J0029.1- 7045,PKS 0026-710,5BZBJ0028-7045,bll,7.173177696,-70.7544241,0,ISP,14.23,1,0.93,0,12.06,0.00000000066322287,2.2845,PowerLaw,2.28,260,0,17.437,0
37,3FGL J0030.3- 4223,PKS 0027-426,5BZQJ0030-4224,fsrq,7.572885817,-42.41291134,0.495,LSP,13.414,1,0.92,0,28.75,0.000000001212056,2.5805,PowerLaw,2.58,424.8,0,18.6463,0
38,3FGL J0030.7- 0209,PKS B0027-024,,bcu II,7.632598963,-2.198925964,0,LSP,12.576,0.88,0.88,0,14.97,0.00000000087114221,2.3781,PowerLaw,2.38,297,0,18.5253,19.11
39,3FGL J0031.3+0724,NVSS J003119+072456,,bcu II,7.83212389583,7.41487726667,0,HSP,15.176,1,0,0,5.1,0.00000000022477475,1.8239,PowerLaw,1.82,12.1961,0,19.1672,17
40,3FGL J0032.3- 2852,PMN J0032-2849,5BZBJ0032-2849,bll,8.1379283,-28.8219896,0.324,ISP,14.702,0.98,0.81,0,4.89,0.00000000022694559,2.1895,PowerLaw,2.19,160.7332,0,17.1802,0
41,3FGL J0033.6- 1921,KUV 00311-1938,5BZBJ0033-1921,bll,8.393250683,-19.35920325,0.61,HSP,16.127,1,0.87,0.97,39.22,0.0000000027719498,1.7148,PowerLaw,1.71,18.8922,1.49e- 11,16.2586,0
42,3FGL J0035.2+1513,RX J0035.2+1515,5BZBJ0035+1515,bll,8.811350471,15.25115366,0,HSP,15.102,1,0,0.92,14,0.00000000082903812,1.8064,PowerLaw,1.81,18.8015,7.33e- 12,17.063,16.36
43,3FGL J0037.9+1239,NVSS J003750+123818,5BZBJ0037+1238,bll,9.462001046,12.63885527,0.089,HSP,15.407,1,0.86,0.82,13.34,0.00000000090294805,2.1515,PowerLaw,2.15,75.6788,7.96e- 13,14.3867,15.32
44,3FGL J0038.0+0012,NVSS J003808+001336,5BZBJ0038+0013,bll,9.535455021,0.226807031,0,LSP,13.94,1,0.82,0,7.45,0.0000000004187414,2.1565,PowerLaw,2.16,96.1486,0,19.6691,18.61
45,3FGL J0038.0- 2501,PKS 0035-252,5BZQJ0038-2459,fsrq,9.561397946,-24.98395424,1.196,LSP,12.758,1,0.87,0,10.1,0.00000000047668991,2.4389,PowerLaw,2.44,412.9883,2.41e- 12,17.291,0
46,3FGL J0039.0- 2218,PMN J0039-2220,,bcu I,9.784204571,-22.33374399,0.06438,HSP,16.08,0.98,0.8,0.82,4.41,0.00000000017347833,1.7154,PowerLaw,1.72,117.1528,2.59e- 12,11.5062,0
47,3FGL J0039.1+4330,NVSS J003907+433015,,bcu III,9.783997916666667,43.50406083333333,0,-,0,1,0,0,7.01,0.00000000033505904,1.9629,PowerLaw,1.96,8.1895,0,21.0586,0
48,3FGL J0039.1- 0939,TXS 0036-099,5BZQJ0039-0942,fsrq,9.776215271,-9.713024686,2.1015,LSP,13.014,0.98,0,0,4.76,0.0000000002348487,2.594,PowerLaw,2.59,154.0639,0,19.6655,0
49,3FGL J0040.3+4049,B3 0037+405,5BZUJ0040+4050,bcu I,10.056244,40.834811,0,-,0,1,0.82,0.89,6.38,0.000000000087253024,1.1323,PowerLaw,1.13,48.1528,2.55e- 12,19.1557,0
50,3FGL J0040.5- 2339,PMN J0040-2340,5BZGJ0040-2340,bcu I,10.1037829,-23.6669243,0.213,ISP,14.442,1,0,0,4.32,0.00000000018839813,1.9462,PowerLaw,1.95,53.675,0,16.5395,0
51,3FGL J0041.9+3639,RX J0042.0+3641,5BZBJ0042+3641,bll,10.5342397,36.6868656,0,HSP,16.5,1,0,0.87,4.63,0.00000000021891897,1.9758,PowerLaw,1.98,11.9769,3.68e- 12,18.0337,18.02
52,3FGL J0042.0+2318,PKS 0039+230,5BZQJ0042+2320,fsrq,10.5189382,23.33362831,1.426,LSP,12.62,0.99,0.92,0,6.09,0.00000000036210165,2.3544,PowerLaw,2.35,1269.8168,0,0,20.06
53,3FGL J0043.5- 0444,1RXS J004333.7- 044257,,bcu II,10.8921965,-4.71717104,0,HSP,17.25,1,0,0.9,5.84,0.00000000022798753,1.7346,PowerLaw,1.73,29.8202,4.92e- 12,19.2914,17.98
54,3FGL J0043.7- 1117,1RXS J004349.3- 111612,,bcu II,10.9529099,-11.2687809,0,HSP,15.44,1,0,0,5.9,0.00000000024505639,1.5937,PowerLaw,1.59,24.9304,1.10e- 12,18.0853,0
55,3FGL J0043.8+3425,GB6 J0043+3426,5BZQJ0043+3426,fsrq,10.95351295,34.44058118,0.966,ISP,14.104,1,0.89,0,22.65,0.0000000016137297,2.0447,PowerLaw,2.04,93.4095,0,19.9936,19.11
56,3FGL J0045.2- 3704,PKS 0042-373,,bcu II,11.30027487,-37.09679714,0,LSP,12.76,1,0.89,0,13.56,0.00000000055938582,2.5428,PowerLaw,2.54,329.8367,0,19.5963,0
57,3FGL J0045.3+2126,GB6 J0045+2127,5BZBJ0045+2127,bll,11.33040939,21.46111101,0,HSP,16.001,1,0.84,0.92,22.34,0.0000000013894633,1.899,PowerLaw,1.9,50.163,3.99e- 12,16.9632,16.37
